"","Province","month","Type","mean.n","sd.n"
"170","Manitoba","2020-08","Prop.provincial",0.970993335449064,6.69052715575496e-05
"171","Manitoba","2020-09","Prop.USA",0,0
"172","Manitoba","2020-09","Prop.international",0.08,0
"173","Manitoba","2020-09","Prop.totalinternational",0.08,0
"174","Manitoba","2020-09","Prop.domestic",0,0
"175","Manitoba","2020-09","Prop.provincial",0.92,0
"176","Manitoba","2020-10","Prop.USA",NA,NA
"177","Manitoba","2020-10","Prop.international",NA,NA
"178","Manitoba","2020-10","Prop.totalinternational",NA,NA
"179","Manitoba","2020-10","Prop.domestic",NA,NA
"180","Manitoba","2020-10","Prop.provincial",NA,NA
"181","Manitoba","2020-11","Prop.USA",0,0
"182","Manitoba","2020-11","Prop.international",0,0
"183","Manitoba","2020-11","Prop.totalinternational",0,0
"184","Manitoba","2020-11","Prop.domestic",0.0437326549491212,0.00372979094978232
"185","Manitoba","2020-11","Prop.provincial",0.956267345050879,0.00372979094978234
"186","Manitoba","2020-12","Prop.USA",NA,NA
"187","Manitoba","2020-12","Prop.international",NA,NA
"188","Manitoba","2020-12","Prop.totalinternational",NA,NA
"189","Manitoba","2020-12","Prop.domestic",NA,NA
"190","Manitoba","2020-12","Prop.provincial",NA,NA
"191","Manitoba","2021-01","Prop.USA",NA,NA
"192","Manitoba","2021-01","Prop.international",NA,NA
"193","Manitoba","2021-01","Prop.totalinternational",NA,NA
"194","Manitoba","2021-01","Prop.domestic",NA,NA
"195","Manitoba","2021-01","Prop.provincial",NA,NA
"196","Maritimes","2020-01","Prop.USA",NA,NA
"197","Maritimes","2020-01","Prop.international",NA,NA
"198","Maritimes","2020-01","Prop.totalinternational",NA,NA
"199","Maritimes","2020-01","Prop.domestic",NA,NA
"200","Maritimes","2020-01","Prop.provincial",NA,NA
"201","Maritimes","2020-02","Prop.USA",NA,NA
"202","Maritimes","2020-02","Prop.international",NA,NA
"203","Maritimes","2020-02","Prop.totalinternational",NA,NA
"204","Maritimes","2020-02","Prop.domestic",NA,NA
"205","Maritimes","2020-02","Prop.provincial",NA,NA
"206","Maritimes","2020-03","Prop.USA",0.238368121442125,0.00108009483649015
"207","Maritimes","2020-03","Prop.international",0.230600885515497,0.00524046013260035
"208","Maritimes","2020-03","Prop.totalinternational",0.468969006957622,0.00632055496909049
"209","Maritimes","2020-03","Prop.domestic",0.133776091081594,0.0150013171734743
"210","Maritimes","2020-03","Prop.provincial",0.397254901960784,0.00868076220438379
"211","Maritimes","2020-04","Prop.USA",0.0237783727156326,0.0055017471882183
"212","Maritimes","2020-04","Prop.international",0.0138051449191014,9.81578445712452e-05
"213","Maritimes","2020-04","Prop.totalinternational",0.037583517634734,0.00559990503278954
"214","Maritimes","2020-04","Prop.domestic",0.0162844837620766,0.000772993025998556
"215","Maritimes","2020-04","Prop.provincial",0.946131998603189,0.004826912006791
"216","Maritimes","2020-05","Prop.USA",0,0
"217","Maritimes","2020-05","Prop.international",0,0
"218","Maritimes","2020-05","Prop.totalinternational",0,0
"219","Maritimes","2020-05","Prop.domestic",0,0
"220","Maritimes","2020-05","Prop.provincial",1,0
"221","Maritimes","2020-06","Prop.USA",NA,NA
"222","Maritimes","2020-06","Prop.international",NA,NA
"223","Maritimes","2020-06","Prop.totalinternational",NA,NA
"224","Maritimes","2020-06","Prop.domestic",NA,NA
"225","Maritimes","2020-06","Prop.provincial",NA,NA
"226","Maritimes","2020-07","Prop.USA",NA,NA
"227","Maritimes","2020-07","Prop.international",NA,NA
"228","Maritimes","2020-07","Prop.totalinternational",NA,NA
"229","Maritimes","2020-07","Prop.domestic",NA,NA
"230","Maritimes","2020-07","Prop.provincial",NA,NA
"231","Maritimes","2020-08","Prop.USA",NA,NA
"232","Maritimes","2020-08","Prop.international",NA,NA
"233","Maritimes","2020-08","Prop.totalinternational",NA,NA
"234","Maritimes","2020-08","Prop.domestic",NA,NA
"235","Maritimes","2020-08","Prop.provincial",NA,NA
"236","Maritimes","2020-09","Prop.USA",NA,NA
"237","Maritimes","2020-09","Prop.international",NA,NA
"238","Maritimes","2020-09","Prop.totalinternational",NA,NA
"239","Maritimes","2020-09","Prop.domestic",NA,NA
"240","Maritimes","2020-09","Prop.provincial",NA,NA
"241","Maritimes","2020-10","Prop.USA",NA,NA
"242","Maritimes","2020-10","Prop.international",NA,NA
"243","Maritimes","2020-10","Prop.totalinternational",NA,NA
"244","Maritimes","2020-10","Prop.domestic",NA,NA
"245","Maritimes","2020-10","Prop.provincial",NA,NA
"246","Maritimes","2020-11","Prop.USA",NA,NA
"247","Maritimes","2020-11","Prop.international",NA,NA
"248","Maritimes","2020-11","Prop.totalinternational",NA,NA
"249","Maritimes","2020-11","Prop.domestic",NA,NA
"250","Maritimes","2020-11","Prop.provincial",NA,NA
"251","Maritimes","2020-12","Prop.USA",NA,NA
"252","Maritimes","2020-12","Prop.international",NA,NA
"253","Maritimes","2020-12","Prop.totalinternational",NA,NA
"254","Maritimes","2020-12","Prop.domestic",NA,NA
"255","Maritimes","2020-12","Prop.provincial",NA,NA
"256","Maritimes","2021-01","Prop.USA",NA,NA
"257","Maritimes","2021-01","Prop.international",NA,NA
"258","Maritimes","2021-01","Prop.totalinternational",NA,NA
"259","Maritimes","2021-01","Prop.domestic",NA,NA
"260","Maritimes","2021-01","Prop.provincial",NA,NA
"261","Ontario","2020-01","Prop.USA",0,0
"262","Ontario","2020-01","Prop.international",1,0
"263","Ontario","2020-01","Prop.totalinternational",1,0
"264","Ontario","2020-01","Prop.domestic",0,0
"265","Ontario","2020-01","Prop.provincial",0,0
"266","Ontario","2020-02","Prop.USA",0.5,0
"267","Ontario","2020-02","Prop.international",0,0
"268","Ontario","2020-02","Prop.totalinternational",0.5,0
"269","Ontario","2020-02","Prop.domestic",0,0
"270","Ontario","2020-02","Prop.provincial",0.5,0
"271","Ontario","2020-03","Prop.USA",0.249935790212054,0.00937438809958727
"272","Ontario","2020-03","Prop.international",0.17753790535801,0.00380674551331984
"273","Ontario","2020-03","Prop.totalinternational",0.427473695570064,0.00556764258626743
"274","Ontario","2020-03","Prop.domestic",0.0893454918253925,0.00361052151778789
"275","Ontario","2020-03","Prop.provincial",0.483180812604543,0.0091781641040553
"276","Ontario","2020-04","Prop.USA",0.108463251670379,0.00211288039654903
"277","Ontario","2020-04","Prop.international",0.0848552338530067,0.000704293465516344
"278","Ontario","2020-04","Prop.totalinternational",0.193318485523385,0.00140858693103269
"279","Ontario","2020-04","Prop.domestic",0.0365256124721604,0.00281717386206537
"280","Ontario","2020-04","Prop.provincial",0.770155902004454,0.00140858693103266
"281","Ontario","2020-05","Prop.USA",0.10015625,0.000494105884401308
"282","Ontario","2020-05","Prop.international",0.0315985576923077,0.00262256200182233
"283","Ontario","2020-05","Prop.totalinternational",0.131754807692308,0.00311666788622364
"284","Ontario","2020-05","Prop.domestic",0.0685576923076923,0.00212845611742103
"285","Ontario","2020-05","Prop.provincial",0.7996875,0.000988211768802633
"286","Ontario","2020-06","Prop.USA",0.0183232093985715,0.00144242022191335
"287","Ontario","2020-06","Prop.international",0.0328950003337561,9.85067468623753e-05
"288","Ontario","2020-06","Prop.totalinternational",0.0512182097323276,0.00134391347505098
"289","Ontario","2020-06","Prop.domestic",0,0
"290","Ontario","2020-06","Prop.provincial",0.948781790267672,0.00134391347505095
"291","Ontario","2020-07","Prop.USA",0.0656830601092896,0.000345604115865395
"292","Ontario","2020-07","Prop.international",0.0328415300546448,0.000172802057932698
"293","Ontario","2020-07","Prop.totalinternational",0.0985245901639344,0.000518406173798097
"294","Ontario","2020-07","Prop.domestic",0.0492622950819672,0.000259203086899049
"295","Ontario","2020-07","Prop.provincial",0.852213114754098,0.000777609260697133
"296","Ontario","2020-08","Prop.USA",0.0424778761061947,0.00559695161091749
"297","Ontario","2020-08","Prop.international",0.0628318584070796,0.00279847580545874
"298","Ontario","2020-08","Prop.totalinternational",0.105309734513274,0.00279847580545874
"299","Ontario","2020-08","Prop.domestic",0.0610619469026549,0.00279847580545874
"300","Ontario","2020-08","Prop.provincial",0.833628318584071,0.00559695161091749
"301","Ontario","2020-09","Prop.USA",0.0269758141306418,0.00352300977185013
"302","Ontario","2020-09","Prop.international",0.0230495778581857,0.00182674580762599
"303","Ontario","2020-09","Prop.totalinternational",0.0500253919888275,0.00169626396422413
"304","Ontario","2020-09","Prop.domestic",0.0162984828286676,0.00175648635348653
"305","Ontario","2020-09","Prop.provincial",0.933676125182505,0.00345275031771067
"306","Ontario","2020-10","Prop.USA",0,0
"307","Ontario","2020-10","Prop.international",0.0303977272727273,0.000299458111758369
"308","Ontario","2020-10","Prop.totalinternational",0.0303977272727273,0.000299458111758369
"309","Ontario","2020-10","Prop.domestic",0,0
"310","Ontario","2020-10","Prop.provincial",0.969602272727273,0.000299458111758378
"311","Ontario","2020-11","Prop.USA",0.022570336776686,0.000383765114549703
"312","Ontario","2020-11","Prop.international",0.0120492147476274,0.000618804648374261
"313","Ontario","2020-11","Prop.totalinternational",0.0346195515243134,0.000235039533824559
